x,y
15.419999694824218,17.05
14.419999694824218,16.6
13.86999969482422,16.45
12.469999694824219,15.8
11.169999694824218,14.3
10.669999694824218,12.95
10.36999969482422,11.7
10.169999694824218,10.15
9.969999694824219,8.15
9.969999694824219,6.6
10.61999969482422,4.55
11.019999694824218,3.8
12.319999694824219,2.75
14.819999694824219,1.8
16.81999969482422,1.35
18.519999694824218,1.05
21.719999694824217,1.25
24.16999969482422,1.55
26.81999969482422,1.8
30.469999694824217,3.25
32.21999969482422,4.95
32.96999969482422,7.2
32.869999694824216,9.15
32.41999969482422,10.7
31.81999969482422,12.65
29.06999969482422,14.95
24.11999969482422,16.9
22.269999694824218,17.15
18.66999969482422,17.2
16.91999969482422,17.3
18.719999694824217,17.55
21.61999969482422,17.15
24.019999694824218,16.55
26.269999694824218,16.15
29.219999694824217,15
31.06999969482422,12.95
32.31999969482422,10.55
32.21999969482422,6.95
30.41999969482422,4.15
27.61999969482422,3.35
24.81999969482422,3.1
23.06999969482422,2.75
20.16999969482422,2.7
16.519999694824218,3.05
14.61999969482422,3.4
12.819999694824219,4.35
11.669999694824218,6.7
10.169999694824218,8.85
10.919999694824218,11
11.219999694824219,12.45
11.919999694824218,13.95
13.269999694824218,14.95
15.219999694824219,15.55
17.16999969482422,15.9
20.11999969482422,16.35
21.86999969482422,16.45
24.16999969482422,16.1
27.16999969482422,15.35
28.769999694824218,14.2
30.019999694824218,12.7
30.969999694824217,10.3
30.769999694824218,7.55
29.719999694824217,4.75
28.86999969482422,3.85
22.269999694824218,2.15
20.269999694824218,2.15
16.91999969482422,2.15
15.11999969482422,2.25
13.919999694824218,2.75
12.219999694824219,3.8
11.61999969482422,5.2
11.169999694824218,8.1
11.019999694824218,9.65
11.36999969482422,11.55
11.86999969482422,13.55
13.169999694824218,15.5
14.269999694824218,16.1
15.569999694824219,16.4
18.719999694824217,17.1
20.219999694824217,17.25
23.86999969482422,17.7
25.06999969482422,17.2
25.81999969482422,16.75
27.31999969482422,16.6
28.81999969482422,14.95
30.41999969482422,13.4
30.91999969482422,12.75
31.219999694824217,10.75
31.31999969482422,8.25
31.31999969482422,6.75
31.16999969482422,5.15
29.41999969482422,2.9
28.219999694824217,2.2
