x,y
1.8199996948242188,11.6
1.8199996948242188,8.65
5.219999694824219,8.15
3.6199996948242186,10.75
2.7199996948242187,7.8
4.269999694824219,6.75
3.8199996948242188,8.5
2.2199996948242187,10.1
3.169999694824219,12.3
4.519999694824219,10.05
6.019999694824219,11.1
5.019999694824219,12.6
6.219999694824219,9.75
3.7199996948242187,9.6
2.3699996948242186,6.3
5.419999694824218,6.55
3.4699996948242187,6.35
3.8699996948242186,7.7
5.219999694824219,9.35
2.7199996948242187,9.2
1.1199996948242188,7.55
1.2199996948242187,9.6
3.169999694824219,11.8
4.669999694824218,11.15
4.219999694824219,13.35
5.419999694824218,11.15
4.269999694824219,11.9
2.419999694824219,10.75
3.019999694824219,10.15
11.469999694824219,15.75
11.519999694824218,14
10.069999694824219,14.4
11.11999969482422,12.85
12.519999694824218,14.3
12.069999694824219,14.85
12.61999969482422,12.35
13.169999694824218,13.95
12.519999694824218,13.75
13.069999694824219,16.05
11.819999694824219,16.65
12.969999694824219,15.35
14.569999694824219,15.95
13.169999694824218,16.85
13.86999969482422,14.55
13.969999694824219,13.55
12.019999694824218,13.15
13.419999694824218,12.5
15.11999969482422,13.1
14.669999694824218,14.5
13.86999969482422,15.65
12.469999694824219,3.4
14.11999969482422,2.2
15.61999969482422,2.55
16.269999694824218,3.9
16.219999694824217,5.55
15.169999694824218,6.45
13.569999694824219,6.85
12.36999969482422,6.45
11.819999694824219,5.45
11.519999694824218,4
11.769999694824218,2.6
12.11999969482422,2.45
13.519999694824218,2.65
13.569999694824219,3.55
13.069999694824219,4.6
13.419999694824218,5.6
14.419999694824218,5.8
14.819999694824219,4.95
14.269999694824218,4.4
14.569999694824219,3.15
15.319999694824219,3.65
