Extent,Solidity,roundness,Compactness,Class
0.7639225181598063,0.9888559986069998,0.9580271262501276,0.9133577547957626,SEKER
0.7839681327076286,0.9849856026326614,0.8870336365528869,0.9538608422605129,SEKER
0.7781132475237036,0.9895587739979791,0.9478494730164112,0.9087742385103313,SEKER
0.7826812728221179,0.9766957427418305,0.9039363743173375,0.9283288347599437,SEKER
0.7730980351921203,0.9908932504849262,0.9848770693509095,0.970515523241471,SEKER
0.775688484693224,0.9895098039215686,0.9438517832505929,0.9237259515228944,SEKER
0.7624015009380863,0.9840813690668389,0.8530798687748348,0.9333735523038642,SEKER
0.7706818181818181,0.9893668752228741,0.9671092439901503,0.9254803918415593,SEKER
0.7715614785013829,0.9884357685865224,0.9542398075022369,0.9256584976908387,SEKER
0.7836828059473885,0.9908097686375321,0.9702782301205947,0.9121254299560562,SEKER
0.7708052854649713,0.9883951406649616,0.9462581799326395,0.9290383427519497,SEKER
0.7863773174494777,0.9883336512174964,0.9581728356299639,0.9452543046697849,SEKER
0.7610461418016343,0.989943671832734,0.9525817569197089,0.9271631618638654,SEKER
0.7987592288761279,0.9893941318430077,0.9481190040168371,0.9200519802981555,SEKER
0.7813134732566012,0.9899599669568533,0.9526231013453076,0.939218858231592,SEKER
0.7641104820723966,0.9891497461928934,0.9658995960258264,0.9355105126120183,SEKER
0.7791928878233942,0.9882494536471036,0.9440792434070276,0.924305534129939,SEKER
0.7629841549295775,0.9887508714113695,0.9579485417856513,0.926782809382055,SEKER
0.7703221992314514,0.9898395214129713,0.9634250363807546,0.9392376658964174,SEKER
0.7742772424017791,0.9916453052311782,0.976510834463214,0.9213623861864616,SEKER
0.7691968225948809,0.9927224401974434,0.973459862403212,0.9090402791060654,SEKER
0.7689493707930933,0.9917901292818723,0.9707927387403043,0.9372133911673683,SEKER
0.7569647566530808,0.9806193123582942,0.8731185069831213,0.9226547369772049,SEKER
0.7618233481024851,0.9872679045092838,0.9218421819917176,0.8736858621919399,SEKER
0.7409356725146199,0.9895654347214846,0.9209289602324524,0.8482396224619057,SEKER
0.773184303006638,0.9892587272840817,0.9518938631075287,0.956197484655159,SEKER
0.7771105010295127,0.987847817281027,0.9249085601436619,0.9314019909394656,SEKER
0.7755899741046562,0.9915053091817614,0.9684821560162405,0.9148122176312733,SEKER
0.7776744186046511,0.9874118049295993,0.942104629800205,0.910201041175846,SEKER
0.773877292852625,0.9924809684263073,0.9696001360667376,0.8985151411579843,SEKER
0.7723543689320388,0.9892128823675702,0.9473781316557983,0.9417486679201496,SEKER
0.7748478207937668,0.9860259032038173,0.9110396196180289,0.9031684660631294,SEKER
0.7852456590370955,0.9875612631056517,0.9285377475301468,0.8951739395280848,SEKER
0.7776559454191033,0.9916418095948297,0.9769466831984482,0.9318694700637616,SEKER
0.7722705314009661,0.9915028220554487,0.9809683770672503,0.9441932316015749,SEKER
0.7742122840133585,0.9917539835079671,0.980466376243067,0.9480382740643168,SEKER
0.7897413112164297,0.9877435089994134,0.9384532773909917,0.9512671411221948,SEKER
0.7618809642797649,0.9888803088803089,0.9415389488677878,0.948189147230393,SEKER
0.7794489875389408,0.9900151472997619,0.9402478733620752,0.8742462647157668,SEKER
0.7705146705146705,0.9916429367339359,0.9674786148012576,0.8997163518293564,SEKER
0.778069153069153,0.9891649945979318,0.9453542294066802,0.9344991563757626,SEKER
0.7798049089007273,0.9924460543017244,0.9771286582334483,0.9356794155410169,SEKER
0.780878628482369,0.9872232997752532,0.8994895693843451,0.8545995244793649,SEKER
0.7676253317076669,0.9859366843737526,0.9163205998319498,0.9007527397288257,SEKER
0.7606708039224975,0.9913870280616183,0.9593915997137143,0.9081653292492684,SEKER
0.760593019956493,0.9891147258694382,0.9424964570592285,0.9285012856844254,SEKER
0.7629073512694202,0.9885837041583551,0.9343383323575635,0.9143952170153701,SEKER
0.7544315653904695,0.9893140084750968,0.9477439021557724,0.9092321798465983,SEKER
0.7752044252044252,0.9854173035768878,0.9145840197365749,0.9157020209962408,SEKER
0.764060649135276,0.9919111767238727,0.9770404216446091,0.9170051834327995,SEKER
0.7758056758056758,0.9891450999632038,0.9454081638315681,0.9178395809691825,SEKER
0.7813135716361522,0.9907563799404232,0.9524626416520814,0.9100874094124694,SEKER
0.7901835985312118,0.9894552922784539,0.9703259436875631,0.9291738213371451,SEKER
0.7848436285936286,0.991047064234248,0.9625933676235022,0.9332722943126625,SEKER
0.7824908655358482,0.9897771792360431,0.9512535177689841,0.9164563288462434,SEKER
0.7837936046511628,0.9888447432762836,0.9414583159721267,0.9172428656338981,SEKER
0.7590994371482176,0.9866487837590685,0.8917085023385342,0.9158607650315007,SEKER
0.7843023255813953,0.9928851815505397,0.9840087314607846,0.9265413140244153,SEKER
0.7693201764789601,0.9895652173913043,0.9535869437249885,0.9243755077275997,SEKER
0.7650344047506834,0.9907834101382489,0.9542650434534424,0.9027960559516964,SEKER
0.7849830999517141,0.9899826447035898,0.9700068736506543,0.9188051492202184,SEKER
0.7589152352501867,0.9910700679650117,0.9622846511114481,0.9196204016365046,SEKER
0.7940321832344395,0.9901345837646915,0.9520886553575951,0.9214594083135608,SEKER
0.7690579778681548,0.9856060606060606,0.9272642490958107,0.9041301318950534,SEKER
0.7819220430107527,0.9901826692197806,0.9467797909622935,0.897055950343453,SEKER
0.7720616113744075,0.9917810721134821,0.9702976345800158,0.9075438566081899,SEKER
0.8085628579220071,0.9878543736370244,0.9273839969932451,0.9341465430775536,SEKER
0.7793119923554707,0.9914898790347091,0.9496811325304296,0.8662478964364662,SEKER
0.7676848308407485,0.9910286718797358,0.9634729275144157,0.9067879620625585,SEKER
0.7794699461366128,0.9904303322128343,0.9595459232064728,0.911496182997459,SEKER
0.7995160817284191,0.990702604482132,0.9435953206896729,0.9474071152943043,SEKER
0.769153036285016,0.9898082622633521,0.9537539372263117,0.9527275664584394,SEKER
0.7901538164810261,0.9895531400966183,0.9437213211191547,0.916575133968688,SEKER
0.7726308345120226,0.9913193394229024,0.9754023408288142,0.928440728148955,SEKER
0.7759926174814253,0.9910549696292044,0.9723340531397822,0.9073413853619953,SEKER
0.8008204527140869,0.9904865452568633,0.9611287424729658,0.9157514617297463,SEKER
0.7461779961779962,0.9912956750385348,0.9644394455020094,0.9292855232759788,SEKER
0.7897851661173527,0.990197261265609,0.9525382332252736,0.9226035261966239,SEKER
0.802914710485133,0.9882919488337095,0.921427619698948,0.9361934758736501,SEKER
0.7465681818181819,0.9880884343510302,0.9359626473375842,0.8863934725442876,SEKER
0.781242572610163,0.990119886740165,0.9612763890251181,0.9283799836325514,SEKER
0.7856699159021406,0.9897667419112114,0.9494626319364751,0.9011543599555505,SEKER
0.7779747134585844,0.9863374880153404,0.9171340044360379,0.9344502943855982,SEKER
0.7686830247706208,0.9901660050523277,0.9595620011896921,0.909469438165153,SEKER
0.7767086458185934,0.9860183826831532,0.9269265082081329,0.9248739716494168,SEKER
0.7653193960511033,0.988330933525318,0.9271980328421906,0.9767388404681284,SEKER
0.7708016561790919,0.9829077675695025,0.8741247214764792,0.9037232657873722,SEKER
0.7666992051317808,0.9858641403424883,0.9050008768446041,0.9118639525451769,SEKER
0.7570183486238532,0.9864905254348736,0.9245974137749079,0.9171071135437033,SEKER
0.7915877317090717,0.989093306166477,0.9356266427048878,0.9112777830992839,SEKER
0.7897846889952153,0.9917089729340022,0.9738429464115214,0.9161628722655487,SEKER
0.7643287037037036,0.9903719256148771,0.9650713855311085,0.913517767582578,SEKER
0.7779268464906087,0.9888699398617719,0.9446575501990478,0.936913920556798,SEKER
0.7992746615087041,0.9921368547418967,0.9667773600396955,0.9140747482622098,SEKER
0.7786622703721149,0.9887257394060828,0.9311727781737043,0.9240385215503317,SEKER
